epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.34884,2.40629,4.31468,1.86885,0.00323,0.3019,0.01737,0.00724,2.2329,4.18445,1.67218,8.459e-05,8.459e-05,8.459e-05
2,7.62749,1.77272,3.55017,1.5211,0.00684,0.39756,0.0544,0.0305,1.64125,3.94883,1.25369,0.000175119,0.000175119,0.000175119
3,10.4662,1.68426,2.76677,1.36922,0.01167,0.63052,0.11948,0.05231,1.75248,3.69334,1.26471,0.000263821,0.000263821,0.000263821
4,13.4419,1.67252,2.37562,1.3289,0.01551,0.80268,0.28706,0.13056,1.54233,3.30255,1.15414,0.000350696,0.000350696,0.000350696
5,16.2348,1.52586,2.02018,1.24658,0.68544,0.12325,0.36405,0.17774,1.56345,2.92141,1.19568,0.000435743,0.000435743,0.000435743
6,18.9918,1.56483,1.98852,1.29266,0.51674,0.30408,0.43436,0.22929,1.56,2.58831,1.19782,0.000518963,0.000518963,0.000518963
7,21.7061,1.50315,1.73804,1.28173,0.44749,0.36764,0.46598,0.25316,1.53695,2.48303,1.20965,0.000600357,0.000600357,0.000600357
8,24.3883,1.45403,1.64114,1.24921,0.34738,0.36027,0.38987,0.21213,1.54412,2.20327,1.25681,0.000679923,0.000679923,0.000679923
9,27.0914,1.44305,1.64483,1.25809,0.35893,0.56444,0.48848,0.28181,1.46072,2.12642,1.21679,0.000708095,0.000708095,0.000708095
10,29.8167,1.41613,1.58435,1.24415,0.40259,0.58965,0.48645,0.28564,1.43512,1.71601,1.19991,0.000700482,0.000700482,0.000700482
11,32.5612,1.38745,1.45969,1.1969,0.41191,0.62439,0.51845,0.3288,1.41126,1.68951,1.2071,0.000692869,0.000692869,0.000692869
12,35.2998,1.38763,1.43815,1.18939,0.45162,0.56119,0.47953,0.30369,1.39496,1.67646,1.2035,0.000685256,0.000685256,0.000685256
