epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.98979,2.40957,1.05747,0.73269,4.94554,2.35892,0.0029,0.20534,0.00918,0.00128,0.00916,0.65556,0.11504,0.07241,2.34249,0.88897,0.69647,4.40555,2.6744,5.383e-05,5.383e-05,5.383e-05
2,5.49103,2.32685,1.01168,0.72822,4.64515,2.28133,0.00573,0.29185,0.02207,0.00689,0.01216,0.77222,0.06236,0.03668,2.28424,0.93623,0.69672,4.16201,2.50914,0.000114208,0.000114208,0.000114208
3,6.76046,1.87871,1.11795,0.72448,4.16459,1.89369,0.01246,0.54899,0.03522,0.01351,0.0184,0.8842,0.09647,0.0525,2.06931,1.01516,0.69439,3.88482,2.24529,0.000173368,0.000173368,0.000173368
4,8.04471,1.7063,0.93288,0.69413,3.85132,1.85621,0.21764,0.23147,0.10913,0.034,0.26908,0.37378,0.17088,0.11237,1.77042,1.05202,0.68649,3.457,1.98021,0.00023131,0.00023131,0.00023131
5,9.31651,1.71399,0.91957,0.68771,3.40942,1.82602,0.13179,0.54553,0.20549,0.06308,0.36039,0.37161,0.27703,0.18085,1.99235,1.02502,0.67604,5.37678,2.20031,0.000288034,0.000288034,0.000288034
6,10.5611,1.659,0.65753,0.68576,3.40112,1.87584,0.17773,0.62353,0.25409,0.12453,0.19926,0.64879,0.28431,0.2069,1.61503,1.00277,0.65885,7.33637,1.94598,0.000343539,0.000343539,0.000343539
7,11.7678,1.58729,0.7757,0.63221,2.96001,1.74272,0.22815,0.37006,0.30566,0.14684,0.23425,0.38434,0.32087,0.24235,1.51983,0.94257,0.6199,8.06367,1.90661,0.000397827,0.000397827,0.000397827
8,12.981,1.39496,0.71038,0.61149,2.76001,1.70932,0.29579,0.43188,0.36527,0.16488,0.30059,0.46809,0.38549,0.29788,1.51825,0.92708,0.59028,7.50087,1.9115,0.000450896,0.000450896,0.000450896
9,14.1984,1.44502,0.71315,0.58154,2.64983,1.66547,0.62613,0.33804,0.38627,0.18667,0.62613,0.33804,0.40208,0.31729,1.48963,0.90361,0.52559,3.74697,1.90883,0.000502748,0.000502748,0.000502748
10,15.4044,1.46049,0.7685,0.57219,2.5066,1.67942,0.4521,0.53789,0.4628,0.24348,0.4521,0.53789,0.4769,0.37695,1.52728,0.87785,0.50461,2.26728,1.86001,0.000553381,0.000553381,0.000553381
11,16.6019,1.34247,0.70977,0.58304,2.51165,1.58549,0.76872,0.38849,0.49229,0.25895,0.76872,0.38849,0.49948,0.40666,1.41684,0.85835,0.46532,2.1574,1.66407,0.000602796,0.000602796,0.000602796
12,17.802,1.36803,0.67106,0.5702,2.72813,1.54648,0.54093,0.4353,0.5149,0.31399,0.54093,0.4353,0.51787,0.42355,1.22679,0.84376,0.4407,2.52105,1.50129,0.000650993,0.000650993,0.000650993
13,19.0211,1.32234,0.60322,0.56152,2.44988,1.53756,0.49377,0.45361,0.49992,0.31177,0.49377,0.45361,0.507,0.40871,1.24439,0.82551,0.42181,2.50135,1.53301,0.000677643,0.000677643,0.000677643
14,20.229,1.33462,0.56062,0.5493,2.54492,1.59994,0.37009,0.53874,0.44386,0.26953,0.41813,0.56207,0.46525,0.37464,1.30191,0.81193,0.41889,2.24213,1.62547,0.00067003,0.00067003,0.00067003
15,21.4703,1.27011,0.60446,0.55109,2.35794,1.52293,0.38605,0.53724,0.4343,0.26018,0.39977,0.55096,0.4574,0.3764,1.47813,0.81351,0.42792,2.60325,1.74629,0.000662417,0.000662417,0.000662417
16,22.8292,1.35895,0.6444,0.55419,2.26909,1.56448,0.53005,0.5785,0.49009,0.29948,0.53005,0.5785,0.50989,0.42512,1.50399,0.80923,0.41985,3.21087,1.79294,0.000654804,0.000654804,0.000654804
